#,Picture,Name,Entry,Category,Type 1,Type 2,Ht (m),Wt (kg),Column 1,Ability 1,Ability 2,Hidden Ability,Regional Variant,Form,Habitat
000,,Missingno,Comment to be written.,???,Bird,Normal,3.3,1590.8,,,,,,Red/Blue,Water's Edge
001,,Bulbasaur,They are born with a seed implanted on their back that grows large over time. Researchers argued over 6 years on the issue of whether this Pokémon should be classified as an animal or a plant.,Seed,Grass,Poison,0.7,6.9,,Overgrow,,Chlorophyll,,,Grassland
002,,Ivysaur,"Bulbasaur's evolution. The plant on their back has grown to a bud. It absorbs nutrients and blooms as a large flower. When the bulb on its back grows large, it appears to lose the ability to stand on its hind legs.",Seed,Grass,Poison,1,13,,Overgrow,,Chlorophyll,,,Grassland
003,,Venusaur,"Absorbs solar energy as nutrition. When it is catching the sun's rays, it often remains quiet and still, but when it is seeking sunlight, it stays on the move. Their flower wafts a dreamily intoxicating aroma that pacifies those spoiling for a fight. It remains unclear as to what they eat to maintain their bulk of 2 meter height and 100 kilogram weight.",Seed,Grass,Poison,2,100,,Overgrow,,Chlorophyll,,Normal,Grassland
004,,Charmander,Right from birth a flame burns at the end of their tail. They cannot survive if the flame were to go out. Smokers often keep them in the place of lighters.,Lizard,Fire,,0.6,8.5,,Blaze,,Solar Power,,,Mountains
005,,Charmeleon,"They flail with their tail to mow down foes, and then shred enemies with their sharp claws. Their powerful tail can hoise five adults (approximately 300 kilograms).",Flame,Fire,,1.1,19,,Blaze,,Solar Power,,,Mountains
006,,Charizard,"Capable of flying up to 1,400 meters in altitude, it flies about in search of strong opponents. It breathes intense flames that can melt any material, and it burns hotter if it has experienced harsh battles. Unless provoked, it will never torch a weaker foe.",Flame,Fire,Flying,1.7,90.5,,Blaze,,Solar Power,,Normal,Mountains
007,,Squirtle,"When it retracts its long neck into its shell, it squirts out water with vigorous force. It takes time for the shell to form and harden after hatching.",Tiny Turtle,Water,,0.5,9,,Torrent,,Rain Dish,,,Water's Edge
008,,Wartortle,Their profile is cute when they are fighting. They are highly popular as pets. Their fur-covered tail is a symbol of longevity.,Turtle,Water,,1,22.5,,Torrent,,Rain Dish,,,Water's Edge
009,,Blastoise,"A brutal Pokémon with pressurized water jets on its shell. They spray water like cannons, hard enough to pierce thick steel, and are very accurate, capable of striking cans from over 160 feet away. Their bulk makes quick movements impossible, but they have overwhelming power to compensate.",Shellfish,Water,,1.6,85.5,,Torrent,,Rain Dish,,Normal,Water's Edge
010,,Caterpie,"When they shed their green skin to grow, they wrap themselves in a silk and transform into a cocoon. Out of all the Pokémon discovered to date, they are the fastest to evolve. The Tiny Bird Pokémon Pidgey is their arch enemy. If Caterpie even sense the presence of Pidgey, they quickly burrow underground. Those too slow to hide fall prey to Pidgey. While a forest may appear peaceful, there are harsh rules that dictate the survival of the fittest.",Worm,Bug,,0.3,2.9,,Shield Dust,,Run Away,,,Forest
011,,Metapod,"Caterpie's evolution. While they are encased in a hard shell, the inside is tender, making them vulnerable to harsh attacks. Worse, being mid-metamorphosis, they are challenged to move quickly.",Cocoon,Bug,,0.7,9.9,,Shed Skin,,,,,Forest
012,,Butterfree,"A week to ten days after evolving, Metapod undergo another evolutionary step and metamorphose into Butterfree. Their wings are covered in water-repellent, powder-like scales that enable them to fly even on rainy days.",Butterfly,Bug,Flying,1.1,32,,Compound Eyes,,Tinted Lens,,Normal,Forest
013,,Weedle,"Common in not only forests but also grasslands. There is a small, sharp poison stinger of around 5 centimeters in length on the top of their head. When faced with a foe, they wiggle the stinger for intimidation. They favor food like Gingko leaves.",Hairy Bug,Bug,Poison,0.3,3.2,,Shield Dust,,Run Away,,,Forest
014,,Kakuna,"A temporary evolutionary form taken while readying the mature form. In their previous guise as Weedle, they are said to eat many leaves in preparation for assuming this pupal form. They are almost incapable of moving.",Cocoon,Bug,Poison,0.6,10,,Shed Skin,,,,,Forest
015,,Beedrill,"Kakuna's evolution. They may appear in swarms. They buzz around at dizzying speed and jab repeatedly with the venomous stinger on their tail. When they grow and learn Twineedle, they become almost untouchable.",Poison Bee,Bug,Poison,1,29.5,,Swarm,,Sniper,,Normal,Forest
016,,Pidgey,"They do not like to fight. If surrounded, they scatter sand to blind their foes and make their getaway. They hide among trees and tall grass when feeding on small bugs and the like. While they feast on Caterpie and Weedle, they oddly ignore Venonat.",Tiny Bird,Normal,Flying,0.3,1.8,,Keen Eye,Tangled Feet,Big Pecks,,,Forest
017,,Pidgeotto,Pidgey's evolution. They dive from an altitude of 800 meters to capture prey. The claws on their feet are powerfully developed. They have no trouble carrying an Exeggcute - their prey - weighing 25 kilograms to their nest 100 kilometers away.,Bird,Normal,Flying,1.1,30,,Keen Eye,Tangled Feet,Big Pecks,,,Forest
018,,Pidgeot,"It races through the skies at Mach-2 speed at 1,200 meters altitude. If they encounter a foe while on the ground, they spread their gorgeous wings widely for intimidation. Their search for food leads them to even the seas where they make easy prey of meaninglessly splashing Magikarp. It goes without saying that they are the evolution of Pidgeotto.",Bird,Normal,Flying,1.5,39.5,,Keen Eye,Tangled Feet,Big Pecks,,Normal,Forest
019,,Rattata,"Its incisors are long, sharp, and continue growing until its death. They gnaw on hard objects to keep the ever-growing fangs workably short. They feast on nuts like walnuts and acorns. They also like processed food like cheese and milk. With their strong capacity for survival, they can live in dirty places without concern. Recently, it has become a popular Pokémon.",Mouse,Normal,,0.3,3.5,,Run Away,Guts,Hustle,Kantonian,,Grassland
020,,Raticate,"Rattata's evolution. Their rear feet have three toes with small webs in between for swimming across rivers. In addition to nuts (naturally), they also feed on fish. Its disposition is far more violent than looks would suggest. Don't let your hand get too close to its face, as it could bite your hand clean off.",Mouse,Normal,,0.7,18.5,,Run Away,Guts,Hustle,Kantonian,,Grassland
021,,Spearow,"Compared with Pidgey, they are much more aggressive. They mainly search for prey among tall grass where they can be seen busily flitting about. While they have little power, they learn the rare Mirror Move.",Tiny Bird,Normal,Flying,0.3,2,,Keen Eye,,Sniper,,,Rough Terrain
022,,Fearow,Spearow's evolution. They can soar high all day long on their broad wings. Their powerful beaks let them swallow prey like a Rattata whole.,Beak,Normal,Flying,1.2,38,,Keen Eye,,Sniper,,,Rough Terrain
023,,Ekans,"They flick their tongue about to sense danger in their surroundings. This carnivore swallows all food whole with almost no chewing. They love the eggs of Pidgey and Spearow. Rattata are also preyed upon occassionally. If they swallow a Rattata, they can go without food again for a month. They grow by shedding repeatedly. In the winter, they hibernate in the warm soil of forests. In summer, they are also common sights in grasslands.",Snake,Poison,,2,6.9,,Intimidate,Shed Skin,Unnerve,,,Grassland
024,,Arbok,"Ekans' evolution. Consequently, this Pokémon is also a venomous serpent. The markings on their belly have the appearance of a frightening face, which is different depending on the specimen. Timid foes flee at the sight of such a ""face."" They are skilled at using Glare that induces paralysis in their foe. If you encounter an Arbok on a path, you should avert your gaze. They are mortal enemies of Raticate. The two Pokémon fight viciously like a Seviper and a Zangoose.",Cobra,Poison,,3.5,65,,Intimidate,Shed Skin,Unnerve,,,Grassland
